previewWindowSize,searchWindowSize,fileSize
1,1,5.418424242424242
2,1,3.6145454545454543
3,1,2.7156363636363636
4,1,2.177939393939394
5,1,1.8172121212121213
1,2,10.829090909090908
2,2,10.831757575757576
3,2,10.831757575757576
4,2,10.831757575757576
5,2,10.831757575757576
1,3,10.349333333333334
2,3,10.32169696969697
3,3,10.318787878787878
4,3,10.315878787878788
5,3,10.315878787878788
1,4,9.472
2,4,9.36169696969697
3,4,9.329454545454546
4,4,9.326545454545455
5,4,9.326545454545455
1,5,8.997333333333334
2,5,8.86569696969697
3,5,8.833454545454545
4,5,8.830545454545454
5,5,8.830545454545454
