 ' '  |          11
 ','  |          01
 "'"  |          00
 '0'  |         100
 '1'  |       10110
 'n'  |     1010000
 'd'  |    10111101
 '7'  |    10111100
 '8'  |    10111010
 '9'  |    10111001
 'e'  |    10111000
 's'  |    10101111
 't'  |    10101101
 'a'  |    10101100
 'r'  |    10101011
 '4'  |    10101010
 'i'  |    10101000
 '5'  |    10100110
 '6'  |    10100100
 'h'  |    10100011
 '2'  |    10100010
 '3'  |   101111111
 'u'  |   101111101
 'c'  |   101110110
 'g'  |   101010011
 'l'  |   101001111
 'm'  |   101001011
 '\\' |  1011111100
 'o'  |  1011111001
 '.'  |  1011101110
 'G'  |  1010111010
 'Ã'  |  1010111000
 'U'  |  1010100101
 'b'  |  1010011101
 'f'  |  1010010101
 'w'  |  1010010100
 'E'  | 10111111010
 '¼'  | 10111011110
 'F'  | 10101110111
 'A'  | 10101110010
 'T'  | 10101001001
 'S'  | 10100111000
 'z'  |101111110110
 'p'  |101111100001
 ':'  |101111100000
 'M'  |101111100011
 'L'  |101110111111
 'H'  |101011101101
 'D'  |101011100111
 'W'  |101011100110
 'V'  |101010010001
 'j'  |101010010000
 'v'  |1011111101110
 'N'  |1011111000100
 'B'  |1011101111101
 '¶'  |1011101111100
 'k'  |1010111011000
 '['  |10111111011111
 ']'  |10111111011110
 'K'  |1010011100101
 'Ÿ'  |1010011100100
 'P'  |10111110001010
 ';'  |10101110110011
 '¤'  |10101110110010
 '-'  |101111100010111
 'Z'  |101111100010110
 'I'  |101001110011101
 'C'  |101001110011100
 '–'  |101001110011111
 '('  |101001110011110
 ')'  |101001110011001
 '!'  |101001110011000
 'O'  |101001110011011
 'J'  |101001110011010
